                                 OrigObjName                                  Object      MaxiID          RA         DEC           Fpeak(Crab)     MJDpeak   RecordInst   Frecent[MAXI]   MJDrecent[MAXI]   Frecent[BAT]   MJDrecent[BAT]   Category   Activity   SigCount              AltNames  
                               QSO_B2128-123                           QSO_B2128-123       INDEF     322.897     -12.118    0.7889999747276306     59397.0          BAT          -9.999             -99.0          0.031          59506.0          2          0          5                     0  
                               QSO_B1124-186                           QSO_B1124-186       INDEF     171.768     -18.955    0.6990000009536743     59433.0          BAT          -9.999             -99.0          0.087          59464.0          2          1          4                     0  
                                     GX_13+1                                 GX_13+1   J1814-171   273.63146   -17.15742                 0.685     57785.0         MAXI           0.489           59542.5           0.05          59543.0          2          1     235648                gx13+1  
                            SAX_J1747.0-2853                        SAX_J1747.0-2853   J1747-288   266.76084   -28.88303                 0.667     56778.0         MAXI           0.145           59541.5          0.093          59537.0          2          1     235502                     0  
                                    NGC_6624                                NGC_6624   J1823-303   275.91879   -30.36103                 0.663     59201.5         MAXI           0.452           59541.5           0.08          59544.0          2          1     237889            H_1820-303  
                               XTE_J1748-288                           XTE_J1748-288       INDEF   267.02108   -28.47383                  0.64      9999.0   HISTORICAL          -9.999             -99.0          0.081          59529.0          2          1         14                     0  
                           0FGL_J0614.3-3330                       0FGL_J0614.3-3330       INDEF      93.543     -33.498    0.6359999775886536     59478.0          BAT          -9.999             -99.0          0.065          59490.0          2          0          9                     0  
                             IGR_J15479-4529                         IGR_J15479-4529       INDEF      237.06     -45.479     0.621999979019165     59249.0          BAT          -9.999             -99.0          0.123          59535.0          2          1         16                     0  
                                     Cen_X-3                                 Cen_X-3   J1121-606   170.31288   -60.62379                  0.62     58265.0         MAXI           0.103           59542.5          0.083          59543.0          2          1     164240                 cenx3  
                               XTE_J1650-500                           XTE_J1650-500   J1650-499   252.50408   -49.96211                   0.6      9999.0   HISTORICAL           0.031           59480.5          0.067          59491.0          2          0      33573                     0  
                                      BY_Dra                                  BY_Dra       INDEF   278.48238    51.71914                 0.585     59142.0          BAT          -9.999             -99.0           0.04          59486.0          2          0         13                     0  
                       1RXS_J180408.9-342058                   1RXS_J180408.9-342058   J1804-343   271.03785   -34.34945                 0.582     57111.0         MAXI           0.026           59541.5           -1.0             -1.0          2          0      38920                     0  
                                EXO_2030+375                            EXO_2030+375   J2032+376   308.06364    37.63746    0.5809999704360962     59473.0          BAT           0.048           59542.5          0.042          59544.0          2          1      39544           exo2030+375  
                                   4C_01.24B                               4C_01.24B       INDEF     137.292        1.36    0.5740000009536743     59448.0          BAT          -9.999             -99.0          0.072          59543.0          2          0         14                     0  
                          SWIFT_J0746.3+2548                      SWIFT_J0746.3+2548       INDEF     116.608      25.817    0.5649999976158142     59362.0          BAT          -9.999             -99.0           0.09          59540.0          2          1         11                     0  
                                EXO_1722-363                            EXO_1722-363   J1725-362   261.29747   -36.28265                 0.549     58523.0         MAXI           0.045           59539.5          0.107          59510.0          2          1      52418       IGR_J17252-3616  
                                 4U_1705-440                             4U_1705-440   J1708-441   257.22696   -44.10204                 0.546     57389.0         MAXI           0.289           59541.5          0.036          59539.0          2          1     227524             H1705-440  
                                     Unknown                                 Unknown   J1632-478   J1632-478   J1632-478                 0.545     58482.0         MAXI          -9.999             -99.0           -1.0             -1.0          2          0          2                     0  
                           0FGL_J1123.0-6416                       0FGL_J1123.0-6416       INDEF     170.831     -64.293    0.5410000085830688     59260.0          BAT          -9.999             -99.0          0.128          59502.0          2          1         15                     0  
                          Swift_J1728.9-3613                      Swift_J1728.9-3613   J1728-362   262.23333   -36.23692                 0.534     58523.0         MAXI           0.017           59540.5           -1.0             -1.0          2          1      55346                     0  
                                xtej1818-245                            xtej1818-245       INDEF   274.60179   -24.53832                  0.51      9999.0   HISTORICAL          -9.999             -99.0            0.1          59363.0          2          0         10         XTE_J1818-245  
                               QSO_B0808+019                           QSO_B0808+019       INDEF   122.86128     1.78117    0.5080000162124634     59195.0          BAT          -9.999             -99.0          0.043          59460.0          2          0          9                     0  
                                     Ser_X-1                                 Ser_X-1   J1839+050   279.98983     5.03600                 0.507     58442.0         MAXI           0.254           59542.5          0.041          59543.0          2          1     210488                 serx1  
                               XTE_J1807-294                           XTE_J1807-294   J1806-294   271.74918   -29.40835                 0.506     59354.5         MAXI           0.018           59541.5           0.12          59537.0          2          1      36056                     0  
                             NOVAPUPPIS_2007                         NOVAPUPPIS_2007       INDEF     124.075     -34.257    0.5040000081062317     59393.0          BAT          -9.999             -99.0           0.25          59526.0          2          1         12                     0  
                                    HD_22403                                HD_22403       INDEF      54.296      25.991     0.503000020980835     59365.0          BAT          -9.999             -99.0          0.056          59535.0          2          0         16                     0  
                                  GS_1354-64                              GS_1354-64   J1358-647   209.54042   -64.73494                   0.5     58538.0         MAXI           0.017           59523.5          0.066          59527.0          2          0      18548        Ginga_1354-645  
                              MAXI_J1659-152                          MAXI_J1659-152   J1659-152   254.75700   -15.25798                   0.5      9999.0   HISTORICAL            0.02           59538.5          0.112          59490.0          2          0       9556                     0  
                                    Terzan_5                                Terzan_5   J1748-248   267.02083   -24.78000                 0.499     57134.0         MAXI            0.03           59540.5          0.072          59527.0          2          1     113678          EXO_1745-248  
                                SLX_1735-269                            SLX_1735-269   J1738-269   264.57133   -26.99405                 0.491     56788.0         MAXI           0.045           59539.5          0.034          59541.0          2          0     109949                     0  
                                 1A_1742-294                             1A_1742-294   J1746-295   266.52166   -29.51481                 0.489     56758.0         MAXI           0.155           59541.5          0.043          59541.0          2          1     235604                     0  
                                       T_Pyx                                   T_Pyx       INDEF     136.173      -32.38    0.4830000102519989     59393.0          BAT          -9.999             -99.0          0.106          59404.0          2          0          4                     0  
                                      GX_9+9                                  GX_9+9   J1731-169   262.93404   -16.96136                 0.479     58099.0         MAXI           0.205           59541.5          0.079          59543.0          2          1     234954                 gx9+9  
  H_1730-333_Rapid-Burster_with_Slow-Burster                              H_1730-333   J1733-333   263.35254   -33.38883                 0.479     57297.0         MAXI           0.024           59542.5          0.057          59429.0          2          0     151930   x1730-333,Rapid_Bur  
    GX_354-0_Slow-Burster_with_Rapid-Burster                                GX_354-0   J1731-338   262.99054   -33.83403                 0.471     57298.0         MAXI           0.129           59540.5          0.104          59541.0          2          1     224492               gx354-0  
                                    GX_304-1                                GX_304-1   J1301-616   195.32124   -61.60184                 0.461     55956.0         MAXI           0.022           59440.5          0.054          59540.0          2          0      10056                     0  
                                MCG_+8-11-11                            MCG_+8-11-11       INDEF      88.723      46.439   0.45899999141693115     59412.0          BAT           0.027           59533.5          0.058          59414.0          2          0      15376             J0554+464  
                                GRO_J1008-57                            GRO_J1008-57   J1009-582   152.44569   -58.29322                 0.452     56253.0         MAXI           0.016           59525.5          0.046          59473.0          2          0      74816                     0  
                                    NGC_6240                                NGC_6240       INDEF     253.246         2.4   0.44200000166893005     59226.0          BAT          -9.999             -99.0          0.162          59432.0          2          0         21                     0  
                                     Her_X-1                                 Her_X-1   J1657+353   254.45755    35.34236   0.43799999356269836     59353.0          BAT           0.021           59513.5          0.039          59544.0          2          1     107330                     0  
                               QSO_B2356-309                           QSO_B2356-309   J2359-306   359.78293   -30.62796    0.4269999861717224     59397.0          BAT           0.019           59530.5           0.06          59472.0          2          0      12896                     0  
                             IGR_J16418-4532                         IGR_J16418-4532       INDEF     250.463     -45.542   0.41600000858306885     59250.0          BAT          -9.999             -99.0          0.056          59535.0          2          0         18                     0  
                                 GS_1826-238                             GS_1826-238   J1829-237   277.36751   -23.79697                 0.412     55894.0         MAXI           0.107           59542.5          0.059          59512.0          2          1     236155        Ginga_1826-238  
                               XTE_J1701-407                           XTE_J1701-407   J1701-408   255.43459   -40.85830                  0.41     57010.0         MAXI           0.026           59541.5          0.024          59519.0          2          1     137735                     0  
                               XTE_J1720-318                           XTE_J1720-318       INDEF   259.99579   -31.75031                  0.41      9999.0   HISTORICAL          -9.999             -99.0          0.048          59535.0          2          0         10                     0  
                                 PKS_0742+10                             PKS_0742+10       INDEF     116.388      10.187   0.40299999713897705     59413.0          BAT          -9.999             -99.0          0.403          59414.0          2          0          6                     0  
                                 1E_1841-045                             1E_1841-045   J1841-049   280.33038    -4.93652    0.4020000100135803     59363.0          BAT           0.025           59535.5          0.052          59487.0          2          0      49431                Kes_73  
                GS_0834-430_with_GS_0836-429                             GS_0834-430   J0835-431   128.97917   -43.18496    0.4020000100135803     59366.0          BAT           0.026           59536.5          0.209          59435.0          2          0      41082                     0  
                              MAXI_J1803-298                          MAXI_J1803-298   J1803-298   270.76171   -29.83013                 0.395     59354.5         MAXI           0.017           59541.5          0.059          59420.0          2          0      20095                     0  
                                  4U_1708-40                              4U_1708-40   J1712-408   258.09929   -40.84277   0.39399999380111694     59204.0          BAT           0.022           59541.5          0.083          59430.0          2          0     158692                     0  
                               XTE_J2123-058                           XTE_J2123-058       INDEF   320.81058    -5.79803   0.39100000262260437     59475.0          BAT          -9.999             -99.0          0.061          59502.0          2          0          9                     0  
                                PKS_0528+134                            PKS_0528+134       INDEF    82.73507    13.53199                 0.385     59193.0          BAT          -9.999             -99.0          0.076          59356.0          2          0          5                     0  
                              LAT_May_source                          LAT_May_source       INDEF     236.082      -6.821   0.36899998784065247     59426.0          BAT          -9.999             -99.0          0.369          59426.0          2          0          2                     0  
                                      EI_Eri                                  EI_Eri       INDEF       62.42      -7.893   0.36800000071525574     59212.0          BAT          -9.999             -99.0          0.094          59345.0          2          0         23                     0  
                                QSO_B0754+10                            QSO_B0754+10       INDEF     119.278       9.943   0.36800000071525574     59422.0          BAT          -9.999             -99.0          0.368          59422.0          2          0          5                     0  
                             IGR_J16465-4507                         IGR_J16465-4507       INDEF   251.64691   -45.11795    0.3659999966621399     59537.0          BAT          -9.999             -99.0          0.366          59537.0          2          1         10                     0  
                               QSO_B2149-306                           QSO_B2149-306       INDEF     327.981     -30.465    0.3659999966621399     59437.0          BAT          -9.999             -99.0          0.071          59534.0          2          0         43                     0  
                                  H_1735-444                              H_1735-444   J1738-444   264.74294   -44.45002                 0.357     56187.0         MAXI           0.262           59540.5          0.039          59541.0          2          1     234272            4U_1735-44  
                                     CTS_109                                 CTS_109       INDEF     323.009     -33.715    0.3529999852180481     59381.0          BAT          -9.999             -99.0          0.064          59478.0          2          0         11                     0  
                                MXB_0656-072                            MXB_0656-072       INDEF     104.572       -7.21    0.3529999852180481     59406.0          BAT           0.016           59539.5          0.051          59436.0          2          0       9383             J0658-072  
                                    NGC_7172                                NGC_7172       INDEF     330.508      -31.87   0.34700000286102295     59381.0          BAT            0.02           59524.5          0.042          59487.0          2          0      14124             J2202-318  
                                   SN_2006dd                               SN_2006dd       INDEF    50.67350   -37.20367    0.3449999988079071     59206.0          BAT          -9.999             -99.0           0.04          59359.0          2          0          9                     0  
                             IGR_J17285-2922                         IGR_J17285-2922       INDEF     262.171     -29.382    0.3440000116825104     59252.0          BAT          -9.999             -99.0          0.076          59531.0          2          0         15                     0  
                              QSO_J0423-0120                          QSO_J0423-0120       INDEF      65.816      -1.343    0.3440000116825104     59230.0          BAT          -9.999             -99.0          0.166          59430.0          2          0         13                     0  
                                      VW_Cep                                  VW_Cep       INDEF      309.34        75.6    0.3440000116825104     59346.0          BAT          -9.999             -99.0          0.053          59542.0          2          0          9                     0  
                                     Geminga                                 Geminga       INDEF      98.475      17.767   0.34299999475479126     59260.0          BAT          -9.999             -99.0          0.092          59420.0          2          0         13                     0  
                             RX_J0209.6-7427                         RX_J0209.6-7427       INDEF      32.394     -74.453    0.3409999907016754     59435.0          BAT           0.017           59514.5          0.078          59493.0          2          0       3157             J0209-744  
                                 MR_2251-178                             MR_2251-178   J2254-175   343.52452   -17.58206    0.3319999873638153     59476.0          BAT           0.016           59523.5          0.068          59511.0          2          0      24807         QSO_B2251-179  
                                      YZ_CMi                                  YZ_CMi   J0744+035   116.16739     3.55247    0.3310000002384186     59462.0          BAT           0.021           59516.5          0.052          59466.0          2          0      28562                     0  
                             IGR_J16393-4643                         IGR_J16393-4643       INDEF   249.77306   -46.70402     0.328000009059906     59544.0          BAT          -9.999             -99.0          0.328          59544.0          2          1         18                     0  
                                    4C_01.02                                4C_01.02       INDEF      17.162       1.583   0.32600000500679016     59437.0          BAT          -9.999             -99.0          0.088          59490.0          2          1         10                     0  
                                PKS_0227-369                            PKS_0227-369       INDEF    37.36854   -36.73245   0.32100000977516174     59203.0          BAT          -9.999             -99.0          0.108          59499.0          2          1          7                     0  
                             IGR_J16558-5203                         IGR_J16558-5203       INDEF     254.023     -52.061    0.3190000057220459     59537.0          BAT          -9.999             -99.0          0.319          59537.0          2          1         20                     0  
                                  AO_0235+16                              AO_0235+16       INDEF    39.66221    16.61647    0.3179999887943268     59455.0          BAT          -9.999             -99.0           0.16          59474.0          2          1         11                     0  
                              QSO_B2134+0028                          QSO_B2134+0028       INDEF   324.16078     0.69839    0.3149999976158142     59475.0          BAT          -9.999             -99.0          0.315          59475.0          2          1         12                     0  
                                  GS_1843-02                              GS_1843-02   J1848-024   282.07370    -2.42029    0.3100000023841858     59512.0          BAT           0.017           59534.5           0.31          59512.0          2          1      33329                     0  
                                    NGC_4507                                NGC_4507       INDEF     188.903     -39.909    0.3019999861717224     59338.0          BAT          -9.999             -99.0          0.119          59529.0          2          1         47                     0  
                                EXO_1846-031                            EXO_1846-031   J1849-030   282.32127    -3.06224                   0.3      9999.0   HISTORICAL           0.019           59541.5          0.063          59429.0          1          0      94011                     0  
                                 ESO_362-_18                             ESO_362-_18       INDEF      79.898     -32.658   0.29600000381469727     59213.0          BAT          -9.999             -99.0          0.191          59512.0          1          1         12                     0  
                             IGR_J16318-4848                         IGR_J16318-4848       INDEF   247.95129   -48.81685                 0.295     59159.0          BAT          -9.999             -99.0          0.052          59541.0          1          0        270                     0  
                                 1A_1246-588                             1A_1246-588   J1249-590   192.41402   -59.08741                 0.292     58810.0         MAXI           0.015           59527.5          0.063          59529.0          1          0      33940            4U_1246-58  
                             RX_J0452.0+4932                         RX_J0452.0+4932       INDEF    73.01989    49.54576                 0.292     59199.0          BAT          -9.999             -99.0          0.026          59482.0          1          0          7                     0  
                                PSR_J1459-60                            PSR_J1459-60       INDEF   224.87593   -60.88885   0.29100000858306885     59447.0          BAT          -9.999             -99.0          0.076          59544.0          1          0         11                     0  
                                       Algol                                   Algol       INDEF      47.042      40.956     0.289000004529953     59365.0          BAT           0.033           59365.5          0.141          59527.0          1          1       2556                     0  
                             IGR_J10404-4625                         IGR_J10404-4625       INDEF     160.093     -46.424     0.289000004529953     59254.0          BAT          -9.999             -99.0          0.059          59532.0          1          0          7                     0  
                               XTE_J1704-445                           XTE_J1704-445       INDEF   256.12500   -44.53331    0.2879999876022339     59537.0          BAT          -9.999             -99.0          0.288          59537.0          1          1          7                     0  
                                  H_1636-536                              H_1636-536   J1640-537   250.23166   -53.75138                 0.286     59334.5         MAXI           0.048           59542.5          0.078          59543.0          1          1     212385           4U_1636-536  
                                    NGC_7603                                NGC_7603   J2318-002   349.73606     0.24388                 0.285     58666.0         MAXI           0.017           59521.5          0.108          59527.0          1          1      26884                     0  
                                     NGC_985                                 NGC_985       INDEF      38.657      -8.788    0.2849999964237213     59264.0          BAT          -9.999             -99.0          0.105          59539.0          1          1          9                     0  
                                PKS_1424-418                            PKS_1424-418       INDEF     216.985     -42.105    0.2849999964237213     59348.0          BAT          -9.999             -99.0          0.092          59474.0          1          1         11                     0  
                                GRS_1734-292                            GRS_1734-292       INDEF     264.368     -29.134    0.2840000092983246     59214.0          BAT          -9.999             -99.0          0.065          59478.0          1          0          5                     0  
                         Granat_J1741.9-2853                     Granat_J1741.9-2853       INDEF      266.26     -28.914    0.2840000092983246     59376.0          BAT          -9.999             -99.0          0.075          59537.0          1          0         27                     0  
                                  4U_0115+63                              4U_0115+63   J0118+637    19.63321    63.74252                 0.282     57314.0         MAXI           0.028           59517.5          0.066          59519.0          1          0      19850   x0115+634,4U_0115+6  
                                    UGC_4730                                UGC_4730       INDEF     135.494      60.151    0.2809999883174896     59448.0          BAT          -9.999             -99.0           0.04          59525.0          1          0          5                     0  
                               QSO_B0347-121                           QSO_B0347-121       INDEF      57.347     -11.991    0.2800000011920929     59249.0          BAT          -9.999             -99.0          0.062          59427.0          1          0         20                     0  
                                   V1223_Sgr                               V1223_Sgr   J1855-311   283.75963   -31.16377   0.27799999713897705     59237.0          BAT            0.02           59539.5          0.067          59477.0          1          0      44209            4U_1849-31  
                                GRS_1758-258                            GRS_1758-258       INDEF   270.30166   -25.74336    0.2770000100135803     59462.0          BAT          -9.999             -99.0          0.047          59542.0          1          0        586                     0  
